host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 10:20:40:121 MST]
host: server1, empl_id: 007839, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 10:21:18:935 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 10:21:50:336 MST]
host: server1, empl_id: 026976, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 10:24:06:824 MST]
host: server1, empl_id: C08578, dest: REQUEST_SYSTEM, doc_types: CSV|PDF, date_time: [2/9/12 10:25:18:325 MST]
host: server1, empl_id: C08578, dest: REQUEST_SYSTEM, doc_types: CSV|PDF, date_time: [2/9/12 10:25:18:337 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 10:26:33:079 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 10:26:33:122 MST]
host: server1, empl_id: 007839, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 10:28:49:935 MST]
host: server1, empl_id: 029990, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 10:34:12:180 MST]
host: server1, empl_id: 029990, dest: REQUEST_SYSTEM, doc_types: PDF, date_time: [2/9/12 10:34:20:546 MST]
host: server1, empl_id: 018709, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 10:44:45:498 MST]
host: server1, empl_id: 034319, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 10:45:18:102 MST]
host: server1, empl_id: 034319, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 10:45:18:127 MST]
host: server1, empl_id: 029594, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 10:49:26:136 MST]
